session_id,group,pre_score,post_score,rouge_l,ai_latency_ms,server_latency_ms,satisfaction
s-1760949635797-0,Tandemly,37,46,0.783,263,69,9
s-1760949635882-1,Moodle,46,46,0.715,333,45,7.4
s-1760949635883-2,Google,44,51,0.732,284,80,7.4
s-1760949635884-3,Teams,47,57,0.733,493,76,7.2
s-1760949635885-4,Tandemly,46,64,0.809,190,57,9.5
s-1760949635887-5,Moodle,36,41,0.665,470,59,7.3
s-1760949635888-6,Google,65,73,0.68,435,49,7.2
s-1760949635889-7,Teams,32,34,0.68,496,52,7.4
s-1760949635890-8,Tandemly,63,69,0.8,224,108,9.9
s-1760949635894-9,Moodle,59,68,0.664,269,60,7.1
s-1760949635895-10,Google,67,79,0.728,418,42,7.6
s-1760949635896-11,Teams,45,57,0.698,377,107,7.2
s-1760949635896-12,Tandemly,46,63,0.764,293,48,9.8
s-1760949635898-13,Moodle,50,50,0.671,347,67,7.5
s-1760949635899-14,Google,33,33,0.69,323,82,7.4
s-1760949635899-15,Teams,32,32,0.672,490,106,7.1
s-1760949635900-16,Tandemly,67,75,0.769,237,106,9
s-1760949635900-17,Moodle,53,63,0.674,323,118,7.5
s-1760949635900-18,Google,58,64,0.719,253,80,7.6
s-1760949635900-19,Teams,51,62,0.711,447,41,7.5
s-1760949635901-20,Tandemly,63,70,0.778,232,57,9.6
s-1760949635901-21,Moodle,46,46,0.697,265,80,7.4
s-1760949635901-22,Google,41,41,0.67,330,114,7.5
s-1760949635902-23,Teams,43,55,0.704,310,70,7.1
s-1760949635902-24,Tandemly,34,44,0.811,312,44,9.2
s-1760949635902-25,Moodle,43,43,0.715,278,77,7.1
s-1760949635902-26,Google,68,68,0.663,313,110,7.4
s-1760949635903-27,Teams,67,69,0.721,257,95,7.1
s-1760949635903-28,Tandemly,48,59,0.773,205,43,8.9
s-1760949635903-29,Moodle,45,53,0.685,360,49,7.5
s-1760949635904-30,Google,68,74,0.717,408,93,7
s-1760949635904-31,Teams,50,50,0.69,494,74,7.3
s-1760949635905-32,Tandemly,67,75,0.753,287,76,9.2
s-1760949635905-33,Moodle,55,55,0.7,272,93,7.3
s-1760949635905-34,Google,63,65,0.688,380,69,7.5
s-1760949635906-35,Teams,59,59,0.71,329,58,7.1
s-1760949635906-36,Tandemly,48,56,0.776,230,73,9.3
s-1760949635906-37,Moodle,68,79,0.712,436,87,7.3
s-1760949635906-38,Google,52,52,0.666,394,77,7.2
s-1760949635907-39,Teams,33,46,0.728,383,68,7.3
s-1760949635907-40,Tandemly,57,78,0.77,275,90,9.9
s-1760949635907-41,Moodle,44,45,0.685,396,71,7.5
s-1760949635907-42,Google,39,39,0.707,451,94,7.5
s-1760949635908-43,Teams,67,68,0.739,275,87,7.1
s-1760949635908-44,Tandemly,38,52,0.766,269,91,9.8
s-1760949635908-45,Moodle,57,61,0.722,494,94,7.2
s-1760949635908-46,Google,37,51,0.731,385,85,7.4
s-1760949635909-47,Teams,57,68,0.681,359,59,7.6
s-1760949635909-48,Tandemly,56,64,0.782,244,82,9.9
s-1760949635910-49,Moodle,56,58,0.664,449,72,7.3
s-1760949635910-50,Google,62,66,0.721,383,109,7.2
s-1760949635910-51,Teams,52,52,0.674,306,40,7.6
s-1760949635911-52,Tandemly,41,62,0.812,172,40,9.4
s-1760949635911-53,Moodle,53,54,0.705,322,104,7.5
s-1760949635912-54,Google,54,57,0.667,393,75,7.4
s-1760949635912-55,Teams,68,68,0.665,407,112,7.3
s-1760949635913-56,Tandemly,38,54,0.783,185,99,9.1
s-1760949635915-57,Moodle,51,60,0.684,500,118,7.1
s-1760949635916-58,Google,33,46,0.729,297,118,7
s-1760949635916-59,Teams,50,56,0.677,252,118,7
s-1760949635917-60,Tandemly,57,68,0.777,241,73,9.7
s-1760949635917-61,Moodle,40,54,0.72,485,65,7.1
s-1760949635917-62,Google,53,61,0.706,352,115,7.2
s-1760949635917-63,Teams,33,46,0.733,485,99,7.1
s-1760949635918-64,Tandemly,58,68,0.767,214,42,9.7
s-1760949635918-65,Moodle,63,63,0.723,374,107,7.2
s-1760949635918-66,Google,60,61,0.688,300,119,7.6
s-1760949635919-67,Teams,49,49,0.67,338,51,7.6
s-1760949635919-68,Tandemly,57,66,0.784,303,48,9.1
s-1760949635919-69,Moodle,58,58,0.724,369,50,7.6
s-1760949635919-70,Google,66,66,0.732,445,102,7.4
s-1760949635920-71,Teams,38,38,0.732,336,96,7.1
s-1760949635920-72,Tandemly,44,66,0.806,290,110,9.7
s-1760949635920-73,Moodle,42,52,0.721,360,119,7.1
s-1760949635920-74,Google,58,62,0.718,371,87,7.3
s-1760949635921-75,Teams,45,57,0.722,399,65,7.1
s-1760949635921-76,Tandemly,57,76,0.793,309,51,8.9
s-1760949635921-77,Moodle,56,56,0.716,378,99,7.1
s-1760949635921-78,Google,46,46,0.721,290,68,7.6
s-1760949635922-79,Teams,50,61,0.726,291,84,7.1
s-1760949635922-80,Tandemly,49,63,0.812,168,109,9.6
s-1760949635922-81,Moodle,32,32,0.721,396,72,7
s-1760949635922-82,Google,62,70,0.714,308,79,7.1
s-1760949635923-83,Teams,39,52,0.74,275,73,7.6
s-1760949635923-84,Tandemly,32,48,0.759,197,67,9.7
s-1760949635923-85,Moodle,64,71,0.665,495,59,7.1
s-1760949635923-86,Google,54,63,0.675,271,97,7.2
s-1760949635924-87,Teams,49,54,0.684,257,89,7.1
s-1760949635926-88,Tandemly,35,48,0.812,191,89,8.9
s-1760949635927-89,Moodle,45,45,0.684,257,55,7.1
s-1760949635927-90,Google,51,62,0.728,499,63,7.3
s-1760949635927-91,Teams,37,37,0.687,273,107,7.3
s-1760949635928-92,Tandemly,43,58,0.789,309,89,9.5
s-1760949635928-93,Moodle,49,58,0.686,445,109,7.6
s-1760949635929-94,Google,66,68,0.671,491,116,7.4
s-1760949635929-95,Teams,35,35,0.7,256,97,7.3
s-1760949635930-96,Tandemly,39,57,0.751,160,110,9.4
s-1760949635930-97,Moodle,62,76,0.699,327,59,7
s-1760949635930-98,Google,55,55,0.676,498,84,7.5
s-1760949635930-99,Teams,54,54,0.673,274,56,7.2
s-1760949635931-100,Tandemly,65,71,0.757,220,78,9.9
s-1760949635931-101,Moodle,40,46,0.724,351,95,7.1
s-1760949635931-102,Google,64,74,0.737,406,41,7.5
s-1760949635931-103,Teams,33,36,0.684,483,77,7.5
s-1760949635932-104,Tandemly,47,70,0.747,294,79,8.8
s-1760949635932-105,Moodle,52,62,0.664,497,90,7.3
s-1760949635932-106,Google,41,51,0.697,370,81,7.1
s-1760949635933-107,Teams,46,46,0.681,309,89,7.6
s-1760949635933-108,Tandemly,43,52,0.779,199,76,8.9
s-1760949635934-109,Moodle,43,56,0.685,284,120,7.3
s-1760949635934-110,Google,41,48,0.694,383,69,7
s-1760949635935-111,Teams,43,45,0.72,410,88,7.5
s-1760949635935-112,Tandemly,46,54,0.786,177,41,9.9
s-1760949635935-113,Moodle,42,48,0.666,453,105,7.5
s-1760949635936-114,Google,62,65,0.712,441,113,7.5
s-1760949635936-115,Teams,43,49,0.667,309,71,7.2
s-1760949635937-116,Tandemly,44,55,0.757,152,48,9.7
s-1760949635937-117,Moodle,42,45,0.735,347,72,7.2
s-1760949635938-118,Google,43,45,0.665,272,90,7.1
s-1760949635938-119,Teams,44,50,0.675,271,68,7.6
s-1760949635939-120,Tandemly,66,81,0.814,221,118,9.5
s-1760949635939-121,Moodle,50,51,0.675,487,100,7.3
s-1760949635940-122,Google,38,39,0.728,266,79,7.4
s-1760949635940-123,Teams,53,65,0.664,270,61,7.5
s-1760949635943-124,Tandemly,65,76,0.779,150,45,9.7
s-1760949635943-125,Moodle,48,48,0.695,372,87,7.3
s-1760949635944-126,Google,64,67,0.691,339,57,7.1
s-1760949635944-127,Teams,65,65,0.697,290,113,7.3
s-1760949635944-128,Tandemly,53,74,0.791,310,61,9.7
s-1760949635945-129,Moodle,41,41,0.708,317,61,7
s-1760949635945-130,Google,63,63,0.687,326,41,7.6
s-1760949635946-131,Teams,45,52,0.738,386,71,7
s-1760949635946-132,Tandemly,43,65,0.788,226,65,9.1
s-1760949635946-133,Moodle,64,68,0.677,364,94,7.1
s-1760949635947-134,Google,67,80,0.702,263,117,7.4
s-1760949635948-135,Teams,32,32,0.727,327,53,7.5
s-1760949635948-136,Tandemly,63,83,0.796,211,83,9.6
s-1760949635948-137,Moodle,39,39,0.696,445,67,7.3
s-1760949635949-138,Google,60,67,0.714,334,42,7.6
s-1760949635949-139,Teams,43,43,0.72,272,99,7.1
s-1760949635950-140,Tandemly,36,56,0.752,183,54,9.1
s-1760949635950-141,Moodle,60,73,0.69,266,75,7.6
s-1760949635950-142,Google,34,48,0.713,305,43,7.4
s-1760949635951-143,Teams,62,71,0.702,445,42,7.1
s-1760949635951-144,Tandemly,33,45,0.776,175,109,8.9
s-1760949635951-145,Moodle,68,76,0.72,500,65,7.3
s-1760949635952-146,Google,53,56,0.699,280,120,7.2
s-1760949635952-147,Teams,35,35,0.673,291,107,7.3
s-1760949635952-148,Tandemly,46,55,0.747,280,71,9.2
s-1760949635953-149,Moodle,63,71,0.688,360,100,7.3
s-1760949635953-150,Google,67,67,0.725,257,75,7.3
s-1760949635954-151,Teams,57,57,0.696,499,88,7.3
s-1760949635954-152,Tandemly,33,53,0.772,167,44,9.5
s-1760949635954-153,Moodle,64,70,0.722,287,53,7.5
s-1760949635955-154,Google,68,80,0.706,268,78,7.3
s-1760949635955-155,Teams,51,54,0.681,362,73,7.1
s-1760949635955-156,Tandemly,47,66,0.766,200,74,9.6
s-1760949635956-157,Moodle,50,50,0.725,406,49,7.4
s-1760949635956-158,Google,59,66,0.685,281,88,7.2
s-1760949635957-159,Teams,61,61,0.727,413,87,7.2
s-1760949635957-160,Tandemly,48,62,0.759,224,83,9.9
s-1760949635957-161,Moodle,37,41,0.673,416,105,7.3
s-1760949635958-162,Google,57,60,0.666,392,97,7.6
s-1760949635958-163,Teams,45,53,0.679,313,59,7.5
s-1760949635958-164,Tandemly,46,64,0.761,263,69,9.5
s-1760949635959-165,Moodle,67,67,0.714,431,88,7.6
s-1760949635959-166,Google,35,36,0.708,450,99,7.3
s-1760949635959-167,Teams,66,78,0.714,272,71,7.1
s-1760949635959-168,Tandemly,40,60,0.797,242,92,9.9
s-1760949635960-169,Moodle,46,46,0.671,387,98,7.4
s-1760949635960-170,Google,55,62,0.726,443,115,7.3
s-1760949635960-171,Teams,65,67,0.701,288,111,7.1
s-1760949635960-172,Tandemly,59,72,0.764,299,45,10
s-1760949635961-173,Moodle,61,66,0.671,285,95,7.6
s-1760949635961-174,Google,42,54,0.725,258,83,7.1
s-1760949635961-175,Teams,38,52,0.696,455,77,7.2
s-1760949635962-176,Tandemly,54,63,0.767,293,78,8.8
s-1760949635962-177,Moodle,59,70,0.704,413,50,7.1
s-1760949635963-178,Google,45,54,0.672,352,46,7.2
s-1760949635963-179,Teams,34,43,0.689,470,81,7.4
s-1760949635964-180,Tandemly,34,51,0.757,234,65,9.8
s-1760949635964-181,Moodle,63,73,0.737,385,79,7
s-1760949635965-182,Google,42,42,0.738,471,111,7.4
s-1760949635965-183,Teams,67,69,0.68,491,71,7.1
s-1760949635966-184,Tandemly,37,53,0.813,184,74,9.3
s-1760949635966-185,Moodle,57,71,0.685,427,104,7.3
s-1760949635966-186,Google,52,64,0.684,320,95,7.3
s-1760949635967-187,Teams,56,59,0.705,437,86,7.1
s-1760949635967-188,Tandemly,36,55,0.811,153,40,9.4
s-1760949635967-189,Moodle,52,62,0.68,399,91,7.5
s-1760949635968-190,Google,45,51,0.739,456,88,7.4
s-1760949635968-191,Teams,65,73,0.687,306,114,7.2
s-1760949635968-192,Tandemly,63,71,0.803,278,56,9.1
s-1760949635969-193,Moodle,66,77,0.707,434,62,7.5
s-1760949635969-194,Google,46,50,0.664,493,46,7.5
s-1760949635970-195,Teams,57,57,0.738,383,96,7.2
s-1760949635970-196,Tandemly,40,63,0.748,253,44,9.3
s-1760949635971-197,Moodle,53,55,0.681,494,90,7.4
s-1760949635971-198,Google,64,74,0.733,273,119,7.6
s-1760949635971-199,Teams,66,66,0.713,438,87,7.4
s-1760949635972-200,Tandemly,61,75,0.747,271,104,9.6
s-1760949635972-201,Moodle,49,49,0.729,327,93,7.1
s-1760949635973-202,Google,50,56,0.722,452,65,7.2
s-1760949635973-203,Teams,67,81,0.676,411,80,7.6
s-1760949635974-204,Tandemly,38,55,0.811,165,101,8.8
s-1760949635974-205,Moodle,34,47,0.737,399,52,7.5
s-1760949635975-206,Google,42,46,0.668,431,87,7.4
s-1760949635975-207,Teams,38,44,0.739,309,71,7.5
s-1760949635976-208,Tandemly,47,64,0.755,223,104,9.3
s-1760949635976-209,Moodle,68,76,0.672,436,92,7.1
s-1760949635976-210,Google,39,39,0.706,416,109,7.1
s-1760949635977-211,Teams,52,58,0.677,440,79,7.1
s-1760949635977-212,Tandemly,43,52,0.796,217,95,9.4
s-1760949635978-213,Moodle,60,72,0.713,438,109,7.5
s-1760949635978-214,Google,67,79,0.727,348,64,7
s-1760949635979-215,Teams,50,50,0.676,327,111,7.6
s-1760949635979-216,Tandemly,42,57,0.778,221,87,9.2
s-1760949635979-217,Moodle,37,47,0.677,456,71,7.4
s-1760949635980-218,Google,35,38,0.689,454,91,7.4
s-1760949635980-219,Teams,57,69,0.722,490,71,7.6
s-1760949635981-220,Tandemly,45,55,0.807,292,86,9.3
s-1760949635981-221,Moodle,41,53,0.661,487,56,7.3
s-1760949635981-222,Google,54,66,0.662,331,45,7.1
s-1760949635982-223,Teams,34,35,0.689,369,105,7.5
