session_id,group,pre_score,post_score,rouge_l,ai_latency_ms,server_latency_ms,satisfaction,gain
s-1760947409690-0,Tandemly,58,71,0.783,276,117,9.3,13
s-1760947416254-1,Moodle,39,46,0.706,336,89,7.5,7
s-1760947418513-2,Google,55,55,0.691,276,67,7.2,0
s-1760947418575-3,Teams,60,61,0.728,287,108,7.0,1
s-1760947418687-4,Tandemly,48,67,0.761,225,68,9.4,19
s-1760947418751-5,Moodle,66,76,0.668,462,74,7.1,10
s-1760947418800-6,Google,56,56,0.709,308,66,7.6,0
s-1760947418826-7,Teams,66,78,0.661,484,41,7.2,12
s-1760947418857-8,Tandemly,45,66,0.781,285,76,9.5,21
s-1760947418885-9,Moodle,58,68,0.68,384,114,7.2,10
s-1760947418910-10,Google,66,66,0.718,489,99,7.1,0
s-1760947418931-11,Teams,40,47,0.722,478,84,7.2,7
s-1760947418952-12,Tandemly,38,49,0.799,207,101,9.9,11
s-1760947418969-13,Moodle,65,65,0.707,378,83,7.2,0
s-1760947418985-14,Google,37,41,0.697,363,104,7.0,4
s-1760947419004-15,Teams,67,81,0.714,317,116,7.6,14
s-1760947419017-16,Tandemly,34,48,0.769,195,50,8.8,14
s-1760947419032-17,Moodle,37,50,0.698,301,109,7.3,13
s-1760947419044-18,Google,53,55,0.702,498,63,7.4,2
s-1760947419060-19,Teams,62,62,0.677,326,109,7.3,0
s-1760947419074-20,Tandemly,52,69,0.802,308,91,9.9,17
s-1760947419086-21,Moodle,45,45,0.721,495,64,7.3,0
s-1760947419098-22,Google,47,53,0.728,375,87,7.2,6
s-1760947419110-23,Teams,43,48,0.664,295,67,7.0,5
s-1760947419122-24,Tandemly,46,63,0.797,285,87,9.9,17
s-1760947419137-25,Moodle,63,73,0.682,335,113,7.5,10
s-1760947419151-26,Google,41,44,0.709,420,106,7.2,3
s-1760947419165-27,Teams,53,53,0.734,467,81,7.3,0
s-1760947419179-28,Tandemly,46,56,0.749,280,45,9.6,10
